teamAbbrev,teamName,conferenceName,divisionName,gamesPlayed,wins,losses,otLosses,points,pointPctg,goalFor,goalAgainst,goalDifferential,blockedShots,blockedShotsPer60,clinchIndicator,defensiveZoneFaceoffPct,defensiveZoneFaceoffs,emptyNetGoals,evFaceoffPct,evFaceoffs,evGoalsFor,faceoffWinPct,giveaways,giveawaysPer60,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPct,goalsForPerGame,hits,hitsPer60,homeLosses,homeWins,lossesEvenShots,lossesOutshootOpponent,lossesOutshotByOpponent,missedShots,netShotsPerGame,neutralZoneFaceoffPct,neutralZoneFaceoffs,offensiveZoneFaceoffPct,offensiveZoneFaceoffs,otLossesEvenShots,otLossesOutshootOpponent,otLossesOutshotByOpponent,penaltyKillNetPct,penaltyKillPct,period1GoalsAgainst,period1GoalsFor,period2GoalsAgainst,period2GoalsFor,period3GoalsAgainst,period3GoalsFor,periodOtGoalsAgainst,periodOtGoalsFor,pkNetGoals,pkNetGoalsPerGame,pkTimeOnIcePerGame,pointPct,pointsPct,powerPlayGoalsFor,powerPlayNetPct,powerPlayPct,ppFaceoffPct,ppFaceoffs,ppGoalsAgainst,ppGoalsAgainstPerGame,ppGoalsFor,ppGoalsPerGame,ppNetGoals,ppNetGoalsPerGame,ppOpportunities,ppOpportunitiesPerGame,ppTimeOnIcePerGame,regulationAndOtWins,regulationWins,roadLosses,roadWins,satPct,satPctAhead,satPctBehind,satPctClose,satPctTied,savePct5v5,seasonId,shFaceoffPct,shFaceoffs,shGoalsAgainst,shGoalsAgainstPerGame,shGoalsFor,shGoalsForPerGame,shootingPct5v5,shootingPlusSavePct5v5,shootoutGamesPlayed,shootoutGoals,shootoutGoalsAgainst,shootoutLosses,shootoutPoints,shootoutSavePct,shootoutSaves,shootoutShootingPct,shootoutShootingPlusSavePct,shootoutShots,shootoutShotsAgainst,shootoutWinPct,shootoutWins,shotAttemptsBlocked,shots,shotsAgainstPerGame,shotsForPerGame,starter_gaa,starter_gp,starter_name,starter_savePctg,streakCode,streakCount,takeaways,takeawaysPer60,teamFullName,teamId,teamShutouts,team_gaa,team_savePctg,team_shutouts,ties,tiesEvenShots,tiesOutshootOpponent,tiesOutshotByOpponent,timeOnIcePerGame5v5,timesShorthanded,timesShorthandedPerGame,totalFaceoffs,totalShotAttempts,usatPct,usatPctAhead,usatPctBehind,usatPctClose,usatPctTied,winsEvenShots,winsInRegulation,winsInShootout,winsOutshootOpponent,winsOutshotByOpponent,zoneStartPct5v5
OTT,Ottawa Senators,Eastern,Atlantic,71,38,24,9,85,0.598592,239,216,23,959,13.3848,,0.57297,1295,12,0.53599,3209,177,0.54385,976,13.6224,216,3.04225,236,0.528428,3.32394,1694,23.6412,11,18,0,15,9,1076,4.94367,0.50619,1292,0.55177,1381,0,3,6,0.777777,0.74879,61,69,73,85,73,79,9,3,-46,-0.64788,287.887323,0.598591,0.59859,53,0.211206,0.22844,0.60156,384,52,0.73239,53,0.74647,49,0.69014,232,3.2676,325.352112,35,32,13,20,0.530698,0.51118,0.56928,0.52655,0.52177,0.89187,20252026,0.552,375,4,0.056338,6,0.084507,0.10115,0.99302,3,5,0,0,6,1.0,7,0.625,1.625,8,7,1.0,3,1116,2057,24.02816,28.97183,2.749741,41,Linus Ullmark,,W,4,362,5.0508,Ottawa Senators,9,3,2.951,0.0,3,,0,0,0,2856.77464,207,2.91549,3968,4249,0.54432,0.52874,0.57214,0.54098,0.53974,1,32,3,30,7,0.5159
NYI,New York Islanders,Eastern,Metropolitan,72,40,27,5,85,0.590278,209,206,3,1058,14.4648,,0.52,1300,7,0.51323,3248,161,0.52176,1014,13.8636,201,2.79166,205,0.490566,2.84722,1404,19.1952,12,19,2,16,9,1072,0.05555,0.5149,1241,0.52941,1411,1,4,0,0.859375,0.8125,58,60,75,71,68,64,0,10,-27,-0.375,263.402777,0.590277,0.59027,35,0.13615,0.16431,0.56868,364,36,0.5,35,0.48611,29,0.40277,213,2.95833,292.055555,36,26,15,21,0.489205,0.46536,0.51895,0.48965,0.48021,0.9139,20252026,0.55294,340,6,0.083333,9,0.125,0.08507,0.99897,9,9,10,5,13,0.666666,20,0.3,0.96666,30,30,0.44444,4,1108,2025,28.08333,28.13888,2.517019,46,Ilya Sorokin,,L,1,326,4.4568,New York Islanders,2,9,2.696,0.0,9,,0,0,0,2901.63888,192,2.66666,3952,4205,0.49303,0.48153,0.51818,0.49095,0.4786,2,26,4,13,25,0.52008
DET,Detroit Red Wings,Eastern,Atlantic,71,38,25,8,84,0.591549,207,211,-4,1159,16.1208,,0.49831,1483,20,0.50968,3355,155,0.50829,1042,14.4936,208,2.92957,205,0.470588,2.88732,1266,17.6076,13,20,3,14,8,1097,0.71831,0.51889,1191,0.50987,1367,1,4,3,0.789189,0.77837,53,40,66,84,84,72,5,9,-39,-0.54929,250.12676,0.591549,0.59154,48,0.195454,0.21818,0.55347,374,41,0.57746,48,0.67605,43,0.60563,220,3.09859,307.084507,36,27,12,18,0.492766,0.42887,0.53156,0.50651,0.50667,0.91182,20252026,0.4391,312,5,0.070422,2,0.028169,0.07751,0.98933,5,4,6,3,7,0.6,9,0.285714,0.88571,14,15,0.4,2,1087,2019,27.7183,28.43661,2.550826,48,John Gibson,,L,2,312,4.338,Detroit Red Wings,17,5,2.728,0.0,4,,0,0,0,2915.18309,185,2.60563,4041,4203,0.50125,0.4474,0.53629,0.50817,0.51038,0,27,2,18,20,0.46768
ANA,Anaheim Ducks,Western,Pacific,71,40,27,4,84,0.591549,240,245,-5,1046,14.472,,0.45877,1419,15,0.48086,3319,184,0.474,1065,14.7348,245,3.4507,232,0.477564,3.2676,1504,20.8116,10,23,3,13,11,1209,1.36619,0.50899,1279,0.45768,1418,0,2,2,0.814655,0.78017,72,55,84,87,85,82,4,8,-43,-0.60563,323.183098,0.591549,0.59154,40,0.162895,0.18099,0.54111,377,51,0.7183,40,0.56338,36,0.50704,221,3.11267,306.985915,32,24,17,17,0.515452,0.49862,0.54608,0.50398,0.49288,0.89571,20252026,0.35952,420,4,0.056338,8,0.112676,0.09113,0.98684,8,15,5,0,16,0.8,20,0.576923,1.37692,26,25,1.0,8,1200,2154,28.97183,30.33802,3.012094,49,Lukas Dostal,,W,3,355,4.9104,Anaheim Ducks,24,0,3.258,0.0,0,,0,0,0,2853.09859,232,3.2676,4116,4563,0.51631,0.51625,0.53834,0.50266,0.49073,2,24,8,22,16,0.50074
PHI,Philadelphia Flyers,Eastern,Metropolitan,70,34,24,12,80,0.571429,204,214,-10,1062,14.8284,,0.53079,1315,18,0.48599,3105,159,0.48679,1021,14.256,210,3.0,195,0.494296,2.78571,1570,21.924,12,15,2,10,12,959,-0.55715,0.47479,1230,0.45305,1278,2,3,7,0.809302,0.78139,60,51,86,69,56,71,8,4,-41,-0.58571,306.471428,0.571428,0.57142,30,0.1133,0.14778,0.47107,363,47,0.67142,30,0.42857,23,0.32857,203,2.9,293.714285,25,21,12,19,0.471906,0.45033,0.5009,0.46506,0.45854,0.90184,20252026,0.50985,355,7,0.1,6,0.085714,0.09848,1.00032,13,14,9,4,22,0.763157,29,0.411764,1.17492,34,38,0.6923,9,992,1762,25.72857,25.17142,2.428116,44,Dan Vladar,,L,1,298,4.158,Philadelphia Flyers,4,0,2.825,0.0,0,,0,0,0,2908.3,215,3.07142,3823,3713,0.47989,0.47639,0.50155,0.46712,0.4592,2,21,9,14,18,0.49783
UTA,Utah Mammoth,Western,Central,72,37,29,6,80,0.555556,225,203,22,1000,13.8024,,0.51334,1424,15,0.49836,3371,185,0.49464,1142,15.7608,203,2.81944,225,0.537162,3.125,1391,19.1988,13,19,0,17,12,1077,1.36111,0.49639,1247,0.47456,1435,0,3,3,0.821917,0.78995,52,63,79,71,66,82,6,9,-39,-0.54166,306.222222,0.555555,0.55555,33,0.153846,0.16923,0.47851,349,46,0.63888,33,0.45833,30,0.41666,195,2.70833,274.916666,37,28,16,18,0.526203,0.50395,0.5406,0.53074,0.53572,0.90412,20252026,0.47668,386,3,0.041666,7,0.097222,0.1012,1.00532,0,0,0,0,0,,0,,,0,0,,0,1195,1975,26.06944,27.43055,2.713152,55,Karel Vejmelka,,L,1,301,4.1544,Utah Mammoth,68,3,2.702,0.0,3,,0,0,0,2917.95833,219,3.04166,4106,4247,0.5252,0.51668,0.53097,0.5291,0.5287,4,28,0,17,16,0.51024
WSH,Washington Capitals,Eastern,Metropolitan,72,35,28,9,79,0.548611,220,211,9,1149,15.7608,,0.49707,1368,20,0.49079,3095,181,0.49688,1068,14.652,205,2.84722,219,0.550724,3.04166,1430,19.6164,11,22,1,13,14,1115,0.375,0.46275,1141,0.52561,1347,1,3,5,0.816964,0.80357,53,57,69,72,80,86,3,4,-41,-0.56944,307.375,0.548611,0.54861,35,0.122065,0.16431,0.61125,391,44,0.61111,35,0.48611,26,0.36111,213,2.95833,296.736111,34,30,17,13,0.5,0.47757,0.53251,0.50012,0.49134,0.9189,20252026,0.42702,370,9,0.125,3,0.041666,0.09718,1.01608,7,7,12,6,8,0.625,20,0.212121,0.83712,33,32,0.14285,1,1119,2053,28.15277,28.52777,2.36954,50,Logan Thompson,,L,1,319,4.374,Washington Capitals,15,3,2.62,0.0,3,,0,0,0,2872.63888,224,3.11111,3856,4287,0.50821,0.49467,0.52594,0.51164,0.50538,2,30,1,19,14,0.48925
EDM,Edmonton Oilers,Western,Pacific,72,35,28,9,79,0.548611,250,246,4,1041,14.3172,,0.52463,1218,14,0.52881,3175,183,0.52838,1118,15.3756,243,3.375,250,0.475308,3.47222,1311,18.0324,13,18,0,17,11,1014,2.72222,0.52317,1208,0.53614,1397,0,6,3,0.796954,0.76649,73,70,80,88,84,84,6,8,-40,-0.55555,263.472222,0.548611,0.54861,61,0.279187,0.30964,0.57317,328,46,0.63888,61,0.84722,55,0.76388,197,2.73611,251.347222,35,27,15,17,0.500974,0.48079,0.52506,0.49435,0.49597,0.88689,20252026,0.47812,320,6,0.083333,6,0.083333,0.09249,0.97938,3,2,5,3,3,0.615384,8,0.142857,0.75824,14,13,0.0,0,1042,2135,26.94444,29.66666,3.342618,30,Tristan Jarry,,W,1,307,4.2228,Edmonton Oilers,22,4,3.245,0.0,3,,0,0,0,2989.375,197,2.73611,3823,4191,0.50893,0.50407,0.52059,0.50412,0.50156,1,27,0,23,11,0.54045
VGK,Vegas Golden Knights,Western,Pacific,72,32,26,14,78,0.541667,225,225,0,1052,14.3388,,0.52922,1266,8,0.50883,3396,170,0.5116,1134,15.4584,219,3.04166,224,0.485148,3.11111,1507,20.5416,12,16,1,20,5,1058,4.33334,0.48986,1233,0.5145,1551,0,8,6,0.837988,0.82123,75,59,80,67,56,91,8,7,-29,-0.40277,248.972222,0.541666,0.54166,51,0.219512,0.24878,0.58028,355,32,0.44444,51,0.70833,45,0.625,205,2.84722,263.305555,31,24,14,16,0.519155,0.47314,0.54684,0.50804,0.52116,0.88529,20252026,0.46153,299,6,0.083333,3,0.041666,0.09119,0.97648,7,4,10,6,8,0.583333,14,0.173913,0.75724,23,24,0.14285,1,1171,2061,24.29166,28.625,2.594386,34,Akira Schmid,,L,1,312,4.2516,Vegas Golden Knights,54,3,2.874,0.0,3,,0,0,0,2978.27777,179,2.48611,4050,4290,0.523,0.48744,0.54149,0.51215,0.52798,0,24,1,26,6,0.55311
NSH,Nashville Predators,Western,Central,71,34,28,9,77,0.542254,215,235,-20,851,11.8224,,0.51537,1463,15,0.50266,3376,157,0.50824,1038,14.418,234,3.29577,211,0.458041,2.97183,1376,19.1124,13,20,0,11,17,1047,-1.52112,0.5164,1280,0.49312,1381,1,3,5,0.83568,0.80751,76,59,70,70,80,77,8,5,-35,-0.49295,302.591549,0.542253,0.54225,48,0.222222,0.23188,0.54855,381,41,0.57746,48,0.67605,46,0.64788,207,2.91549,287.507042,30,25,15,14,0.5,0.47447,0.52257,0.49039,0.49295,0.90438,20252026,0.51771,367,2,0.028169,6,0.084507,0.08721,0.99159,5,7,4,1,9,0.809523,17,0.35,1.15952,20,21,0.8,4,1142,1988,29.52112,28.0,3.113594,53,Juuse Saros,,W,5,379,5.2632,Nashville Predators,18,0,3.045,0.0,0,,0,0,0,2878.92957,213,3.0,4124,4177,0.49043,0.47018,0.50758,0.4811,0.48502,1,25,4,14,19,0.46912
TOR,Toronto Maple Leafs,Eastern,Atlantic,73,31,29,13,75,0.513699,229,255,-26,1120,15.102,,0.54683,1516,19,0.55126,3394,189,0.54968,1161,15.6528,251,3.43835,228,0.470238,3.12328,1656,22.3272,12,18,0,8,21,964,-5.38356,0.57256,1261,0.53093,1309,0,2,11,0.845,0.82,71,62,85,72,86,87,9,7,-31,-0.42465,284.835616,0.513698,0.51369,34,0.15909,0.19318,0.55108,323,36,0.49315,34,0.46575,28,0.38356,176,2.41095,251.383561,30,23,17,13,0.455438,0.42629,0.46518,0.45665,0.46945,0.9032,20252026,0.53387,369,6,0.082191,5,0.068493,0.10387,1.00707,5,4,8,4,6,0.272727,3,0.333333,0.60606,12,11,0.2,1,962,1973,32.41095,27.02739,3.161249,35,Joseph Woll,,W,2,340,4.5828,Toronto Maple Leafs,10,3,3.091,0.0,3,,0,0,0,2951.09589,200,2.73972,4086,3899,0.45223,0.42905,0.45454,0.45099,0.46885,2,23,1,7,22,0.4615
NJD,New Jersey Devils,Eastern,Metropolitan,70,36,32,2,74,0.528571,193,213,-20,990,13.9896,,0.51159,1337,13,0.5043,3254,145,0.50603,1077,15.2172,213,3.04285,189,0.423791,2.7,1330,18.792,15,18,2,22,8,1055,2.44286,0.50637,1177,0.50036,1381,0,2,0,0.822222,0.8,65,53,67,61,79,67,2,8,-32,-0.45714,256.657142,0.528571,0.52857,40,0.205555,0.22222,0.57827,313,36,0.51428,40,0.57142,37,0.52857,180,2.57142,256.114285,32,24,17,18,0.513985,0.4644,0.53767,0.52078,0.52777,0.90089,20252026,0.45426,328,3,0.042857,4,0.057142,0.06955,0.97044,4,7,1,0,8,0.90909,10,0.636363,1.54545,11,11,1.0,4,1202,2124,27.51428,29.95714,3.096361,39,Jacob Markstrom,,W,1,331,4.6764,New Jersey Devils,1,1,2.881,0.0,1,,0,0,0,3020.81428,180,2.57142,3895,4381,0.51388,0.4795,0.52053,0.53006,0.53223,2,24,4,18,16,0.51423
LAK,Los Angeles Kings,Western,Pacific,71,28,25,18,74,0.521127,189,216,-27,1010,13.9284,,0.48295,1437,8,0.49076,3303,143,0.48922,1098,15.1416,208,2.92957,185,0.5,2.60563,1402,19.3356,16,10,2,15,8,1153,0.28169,0.49595,1236,0.48973,1364,1,8,9,0.78341,0.75115,52,51,70,61,76,67,10,6,-47,-0.66197,285.478873,0.521126,0.52112,35,0.143564,0.17326,0.53276,351,54,0.76056,35,0.49295,29,0.40845,202,2.84507,282.521126,24,18,9,18,0.521816,0.48865,0.54493,0.51979,0.52567,0.91638,20252026,0.43603,383,6,0.084507,7,0.098591,0.08023,0.99661,12,12,18,8,16,0.590909,26,0.279069,0.86997,43,44,0.33333,4,1301,1962,27.35211,27.6338,2.656077,45,Darcy Kuemper,,OT,2,329,4.536,Los Angeles Kings,26,4,2.733,0.0,4,,0,0,0,2938.92957,217,3.05633,4037,4416,0.51905,0.49407,0.53342,0.52157,0.52421,2,18,4,14,12,0.50671
FLA,Florida Panthers,Eastern,Atlantic,70,35,32,3,73,0.521429,211,233,-22,833,11.7648,,0.48807,1258,12,0.47559,3175,152,0.47409,977,13.7988,232,3.31428,206,0.459074,2.94285,1760,24.858,14,19,2,19,11,1149,2.12858,0.47161,1321,0.46411,1435,0,3,0,0.841004,0.8159,65,58,70,62,95,83,2,3,-38,-0.54285,330.2,0.521428,0.52142,48,0.171428,0.19591,0.50804,435,44,0.62857,48,0.68571,42,0.6,245,3.5,341.814285,30,27,18,16,0.524967,0.50211,0.54302,0.53151,0.52749,0.89219,20252026,0.42574,404,6,0.085714,6,0.085714,0.08896,0.98115,6,9,4,1,11,0.789473,15,0.473684,1.26315,19,19,0.83333,5,1171,1995,26.37142,28.5,3.019272,48,Sergei Bobrovsky,,W,1,300,4.2372,Florida Panthers,13,4,3.015,0.0,4,,0,0,0,2808.55714,239,3.41428,4014,4315,0.51664,0.49534,0.52399,0.52686,0.52842,2,27,5,20,13,0.53157
SEA,Seattle Kraken,Western,Pacific,70,31,29,10,72,0.514286,200,218,-18,1114,15.696,,0.48434,1437,16,0.48211,3159,155,0.48038,1032,14.5404,213,3.04285,199,0.5,2.84285,1309,18.4428,14,17,1,11,17,969,-3.81428,0.46222,1125,0.49161,1312,2,3,5,0.75,0.73936,64,49,70,70,74,75,5,5,-47,-0.67142,249.985714,0.514285,0.51428,42,0.176767,0.21212,0.5508,374,49,0.7,42,0.6,35,0.5,198,2.82857,274.485714,30,25,15,14,0.457182,0.43054,0.47713,0.45508,0.45726,0.91921,20252026,0.38709,341,7,0.1,2,0.028571,0.09613,1.01534,6,3,8,5,7,0.6,12,0.157894,0.75789,19,20,0.16666,1,973,1777,29.24285,25.42857,2.922607,43,Joey Daccord,,OT,1,327,4.6044,Seattle Kraken,55,2,2.766,0.0,2,,0,0,0,2966.91428,188,2.68571,3874,3719,0.45527,0.43463,0.47826,0.44767,0.44887,2,25,1,6,23,0.46515
WPG,Winnipeg Jets,Western,Central,71,30,29,12,72,0.507042,203,220,-17,981,13.6368,,0.48788,1279,11,0.51548,3133,160,0.50811,1010,14.04,216,3.04225,201,0.489285,2.83098,1546,21.492,13,18,1,13,15,1029,-1.50704,0.51025,1170,0.52512,1373,0,4,8,0.817258,0.7868,50,59,75,79,83,59,8,4,-36,-0.50704,272.154929,0.507042,0.50704,35,0.161616,0.17676,0.54434,327,42,0.59154,35,0.49295,32,0.4507,198,2.78873,283.887323,28,24,16,12,0.489275,0.4524,0.52545,0.49554,0.49471,0.90891,20252026,0.4116,362,3,0.042253,6,0.084507,0.0952,1.00411,6,3,6,4,8,0.6,9,0.2,0.8,15,15,0.33333,2,1012,1878,27.95774,26.4507,2.808859,48,Connor Hellebuyck,,W,2,288,4.0032,Winnipeg Jets,52,0,2.863,0.0,0,,0,0,0,2939.46478,197,2.77464,3822,3919,0.48509,0.45898,0.51495,0.48896,0.48594,0,24,2,10,20,0.52528
